#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|FXBS|-40.461360|175.226033|4.000000|Foxton Beach School|2004-11-05T00:00:00|
NZ|GBIH|-36.218120|175.476100|120.000000|Great Barrier Island Hydrophone Array|2007-06-12T00:00:00|
NZ|GBIT|-36.189046|175.488868|-4.000000|Great Barrier Island|2010-07-26T00:00:00|
NZ|GDLC|-43.586183|172.088753|127.000000|Greendale|2005-11-16T00:00:00|
NZ|GHHS|-38.641780|178.017720|62.000000|Gisborne Hospital Hill|2011-09-07T00:00:00|
NZ|GISS|-38.666489|178.022674|8.000000|Gisborne 2ZG|1999-08-18T00:00:00|
NZ|GIST|-38.675410|178.022877|0.000000|Gisborne|2008-02-12T04:00:00|
NZ|GKBS|-38.682170|178.031880|30.000000|Kaiti Beach|2011-08-19T00:00:00|
NZ|GLKZ|-29.260680|-177.918038|30.000000|Green Lake|2009-05-02T00:00:00|
NZ|GLNS|-44.864410|168.406460|342.000000|Glenorchy|2015-10-22T00:00:00|
NZ|GLOS|-41.857299|173.821803|725.000000|Glen Orkney Strong Motion|2017-06-09T00:00:00|
NZ|GLWS|-42.594173|172.511049|445.000000|Glynn Wye|2002-10-17T00:00:00|
NZ|GMFS|-42.457849|171.204300|8.000000|Greymouth Fire Station|2014-08-11T00:00:00|
NZ|GODS|-43.578400|172.769260|155.000000|Godley Drive|2011-02-26T00:00:00|
NZ|GORS|-46.102667|168.941693|85.000000|Gore District Council|2005-04-18T00:00:00|
NZ|GOVS|-43.652421|172.635725|163.000000|Living Springs Camp Governors Bay|2012-12-19T00:00:00|
NZ|GRAS|-38.664511|178.025314|26.000000|Gisborne Response Grey Street|2021-05-13T01:08:00|
NZ|GRRZ|-38.349670|176.109930|580.000000|Galatos Road|2009-11-12T00:00:00|
NZ|GRZ|-36.250200|175.457800|146.000000|Great Barrier Island|2010-05-13T00:00:00|
NZ|GVZ|-42.967365|173.034750|400.500000|Greta Valley|2012-12-03T00:00:00|
NZ|GWTS|-38.625678|177.921583|13.000000|Gisborne Waipaoa Water Treatment Plant|2002-04-17T00:00:00|
NZ|HAFS|-43.148912|170.556061|60.000000|Harihari Fire Station|2002-04-18T00:00:00|
NZ|HALS|-43.590880|172.569503|0.000000|Halswell School|2011-08-24T00:00:00|
NZ|HATZ|-38.890769|176.092100|506.000000|Hinemaiaia|1985-05-01T00:00:00|
NZ|HAVS|-41.272270|173.784670|67.000000|Havelock|2013-04-13T00:00:00|
NZ|HAZ|-37.756100|177.782600|81.000000|Te Kaha|2010-01-14T00:00:00|
NZ|HBAZ|-36.850130|174.730410|20.000000|Herne Bay Borehole|2009-08-06T00:00:00|
NZ|HBHS|-37.785638|175.295136|40.000000|Hamilton Boys High School|2014-03-14T00:00:00|
NZ|HBRB|-39.493442|176.916878|4.000000|Hawke's Bay Regional Council|2011-03-22T00:00:00|
NZ|HDWS|-43.883006|169.044148|20.000000|Haast DOC Workshop|2002-01-01T00:00:00|
NZ|HHSS|-43.557500|172.592800|10.000000|Hillmorton High School|2011-12-12T00:00:00|
NZ|HIBS|-41.139900|175.035900|45.000000|Hutt International Boys School|2011-09-30T00:00:00|
NZ|HIZ|-38.512929|174.855686|237.000000|Hauiti|2004-02-03T00:00:00|
